attr,number,pct,total_pop,pct_check
12,2,1,225,0.888888888889
13,7,3,225,3.11111111111
14,17,8,225,7.55555555556
15,36,16,225,16.0
16,74,33,225,32.8888888889
17,76,34,225,33.7777777778
18,12,5,225,5.33333333333
19,1,0,225,0.444444444444
